ID,Nome,latitude,longitude
308,Praça Monteiro Lobato,-8.131932272,-34.94735949
309,Praça Robert Kennedy/da Juventude,-8.116369686,-34.91858583
310,Praça da rua João Guilherme,-8.115386499,-34.91944517
311,Praça da rua Junqueira Freire,-8.116225406,-34.92041192
312,Praça da rua Leonardo da Vinci,-8.117564241,-34.91620587
313,Praça Encanta Moça/Posto Policial,-8.093072428,-34.88864188
314,Praça arquiteta Maria Lucia,-8.103822755,-34.92671357
315,Praca Mauriceia,-8.107793342,-34.91646488
316,Praça do Jacaré,-8.118242401,-34.91781849
317,Praça Josen Demery Carneiro,-8.117063431,-34.92137852
318,Praça Lins do Rego/dos Brotos,-8.118709463,-34.91914364
319,Praça Circular do Alto Jordão,-8.134237437,-34.94381569
320,Praça Mercado Municipal da UR-5,-8.132432675,-34.94882182
321,Praça da rua Elza Leal Wanderley,-8.110108388,-34.92662342
322,Praça da rua Rosa M. de Melo,-8.108636596,-34.92682751
323,Praça do S,-8.122273432,-34.94705778
324,Praça Todos os Santos,-8.121080341,-34.95345689
325,Praça da Rua Jatobá,-8.123667543,-34.94645226
326,Praça Vitória do Povo,-8.118321894,-34.94616099
327,Praça Geraldo Vilas Boas,-8.131276898,-34.94911435
328,Praça Dalva de Oliveira,-8.116224924,-34.94646448
329,Praça da rua Quintino Bocaiuva,-8.115533124,-34.91762026
330,Praça da Rua Clotilde de Machado I e II,-8.107275838,-34.92177898
331,Praça da Rua Clotilde de Machado I e II,-8.107671976,-34.92143116
332,Praça professor Jeronimo Gueiros,-8.13499924,-34.9400395
333,Praça da rua José Rodrigues,-8.090992837,-34.89257984
334,Praça da rua Guarabira,-8.114097516,-34.9074951
335,Praça Campo de pelada Carlos Rios,-8.085727266,-34.91051676
336,Praça do Terminal de ônibus da UR-2,-8.114574472,-34.95533183
337,Praça da Avenida Senador Robert Kennedy,-8.117619511,-34.91837467
338,Praça da CHESF,-8.062636847,-34.93095874
339,Praça do Bueirão,-8.046109959,-34.91386863
340,Praça Jacarezinho,-8.018500505,-34.88289503
341,Praça Chão de Estrelas,-8.020573233,-34.87994024
342,Praça Novaes Filho,-8.016610587,-34.8819309
343,Praça do IML,-8.11286166,-34.94932137
344,Praça Getulio Vargas,-8.054004913,-34.92272441
345,Praça Santa Lucia,-8.039151075,-34.93011995
346,Praça Chico Scince,-8.061929077,-34.90169642
347,Praça Doutor Jose de Melo,-8.032712668,-34.90740837
348,Praça Doutor Jose de Melo,-8.032659255,-34.90713144
349,Praça Alto da Serrinha,-8.012648303,-34.90931455
350,Praça Alto da Serrinha,-8.012563637,-34.90911644
351,Praça Arão Botler,-8.008670426,-34.88814566
352,Praça Treze de Junho,-8.028282743,-34.894669
353,Praça Treze de Junho,-8.028376755,-34.89501515
354,Praça das Flores,-8.033250341,-34.89383251
355,Praça Encanamento,-8.031791658,-34.91409823
356,Praça Bambu,-8.121702686,-34.9544336
357,Praça da Biblia,-7.964861101,-34.92333092
358,Praça Souto Filho,-8.036102966,-34.90287433
359,Praça Professor Calazans,-8.050560695,-34.91019588
360,Praça Odília Freire dos Santos,-8.04948682,-34.89307306
361,Praça Aúreo Xavier,-8.050663593,-34.92580564
362,Praça Aúreo Xavier,-8.050232683,-34.92658325
363,Praça Cosme Viana,-8.065654813,-34.90883536
364,Praça Industrial Miguel Santos,-8.101388665,-34.88607995
365,Praca Esmeralda,-8.114716636,-34.94712554
366,Praça Jockey Clube,-8.061409382,-34.91336654
367,Praça São Francisco/Amante das Flores,-8.115585041,-34.94599427
368,Praça Conselheiro João Alfredo,-8.057328865,-34.908882
369,Praça Conselheiro João Alfredo,-8.056885206,-34.90932343
370,Praça do Anfiteatro,-8.001463173,-34.935715
371,Praça Chayenne,-8.006060549,-34.8922996
372,Praça Castro Alves,-8.04000747,-34.88705319
373,Praça Bomba do Hemetério,-8.020226629,-34.90323444
374,Praça Alfredo Ozório,-8.029367443,-34.90649245
375,Praça Ayrton Senna,-8.113411477,-34.951048
376,Praça Virgilio de Oliveira,-8.037376007,-34.92241367
377,Praça 3º Jardim de Boa Viagem,-8.10823516,-34.88845837
378,Praça Sargento Max Wolf Filho,-8.071654519,-34.9114084
379,Praça Largo Dona Regina,-8.018561394,-34.92618305
380,Praça Heiji Gemba,-8.132921301,-34.90436301
381,Praça Doutor Alberto Wanderley,-8.009162474,-34.88836702
382,Praça Gustavo Barrozo,-8.012405066,-34.91221086
383,Praça São Pedro,-8.088754849,-34.88035131
384,Praça Poço da Panela,-8.037073095,-34.92546349
385,Praça Saturnino de Brito,-8.079493912,-34.89299581
386,Praça de Casa Forte,-8.034613064,-34.9193523
387,Praça Sérgio Loreto,-8.07266317,-34.88476982
388,Praça Canavial,-8.000901107,-34.90160325
389,Praça Luiz de Lacerda,-8.035896445,-34.94310322
390,Praça Alberico Glasner da Rocha,-8.023210481,-34.95766712
391,Praça Francisco Apolônio Jorge Sales,-8.056381656,-34.89004205
392,Praça da Rua Joaquim de Brito,-8.063147243,-34.89352903
393,Praça Doutor Pedro Cavalcanti,-8.03517934,-34.90017692
394,Praça João Pereira Borges,-8.054339208,-34.90179053
395,Praça da Criança Alexandra Vilma Dias,-8.119642827,-34.95056318
396,Praça Doutor Pádua Walfrido,-8.097461844,-34.93703052
397,Praça Franco Gomes Coutinho,-8.078626485,-34.91971566
398,Praça da Juventude,-8.117294235,-34.94616336
399,Praça Vereador Carlos Duarte,-8.052914011,-34.87953664
400,Praça El Salvador,-8.080472999,-34.94025329
401,Praça Queira Deus,-8.092483772,-34.96183406
402,Praça Quinze de Setembro,-8.117062053,-34.91715269
403,Praça Ana Lima Brandão,-8.09549176,-34.94386536
404,Praça Compositor Antônio Maria,-8.040307848,-34.91378683
405,Parque Jonathan Marques da Cunha,-8.041767548,-34.92317634
406,Parque Jonathan Marques da Cunha,-8.03841897,-34.92763868
407,Parque Jonathan Marques da Cunha,-8.040234263,-34.92601552
408,Praça Dr Fernando Figueira,-8.065514974,-34.89326168
409,Parque de Apipucos,-8.021990604,-34.93320107
410,Praça Maurício de Nassau e Duarte Coelho,-8.071509944,-34.87621436
411,Parque da Tamarineira,-8.032919802,-34.90181629
412,Praça João Francisco Lisboa,-8.053074889,-34.95955794
413,Praça do Terminal,-8.094489339,-34.92404121
414,Praça Izabel de Goes,-8.090526773,-34.92996294
415,Praça Zeppelin,-8.083288224,-34.92522742
416,Praça do Tourão,-8.092859902,-34.92536535
417,Praça Infantil John F. Kennedy,-8.081735785,-34.95581679
418,Praça Professor Paulo Silveira do Nascimento,-8.083186297,-34.92185723
419,Praça João Stanislau,-8.097661118,-34.93837157
420,Praça Queira Deus,-8.092678047,-34.96173746
421,Praça Dom Helder,-8.081500114,-34.95375576
422,Praça Padre Romano Zuferey,-8.078357109,-34.93973457
423,Praça Maria Madalena Bispo,-8.079585171,-34.9521782
424,Praça Zeppelin,-8.07290586,-34.92792277
425,Praça Zumbi dos Palmares,-8.01054197,-34.9308843
426,Praça do Jordão,-8.130438342,-34.93801131
427,Parque de Santana,-8.042019233,-34.91782559
428,Rua Maria Adelaide Castelo Branco,-8.124246154,-34.95112973
429,Praça da Rua José Augusto de Barros,-8.086837182,-34.92314045
430,Praça da Rua Pinheiro Machado,-8.134214402,-34.95134622
431,Praça da Rua Professor Avertano Rocha,-8.066851556,-34.93340057
432,PRC   RUA AUGUSTO BAMBERG DE MELO,-8.089731349,-34.94989529
433,Praça da Rua Príncipe da Beira,-8.090665807,-34.92269581
434,Praça da Rua Tristão da Cunha,-8.134950419,-34.95371043
